OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET
Motor Vehicle Accident Response,E18,496,2018,7,Thursday,11,HYDE PARK AVE
Motor Vehicle Accident Response,C11,373,2018,7,Thursday,12,ASHMONT ST
Simple Assault,C6,231,2018,6,Tuesday,7,E SEVENTH ST
Motor Vehicle Accident Response,A1,128,2018,7,Thursday,12,CORTES ST
Counterfeiting,B3,476,2018,7,Thursday,12,BLUE HILL AVE
License Plate Related Incidents,A1,82,2018,1,Friday,9,COMMERCIAL ST
Larceny,C6,186,2018,7,Thursday,12,ALLSTATE RD
Investigate Property,C6,915,2018,7,Thursday,11,E NINTH ST
Larceny,E13,304,2018,7,Thursday,10,COLUMBUS AVE
Restraining Order Violations,E18,516,2018,7,Thursday,11,TRUMAN PKWY
Medical Assistance,C11,352,2018,7,Thursday,11,JOSEPHINE ST
Motor Vehicle Accident Response,C11,349,2018,7,Thursday,11,DORCHESTER AVE
Counterfeiting,A1,115,2018,7,Thursday,12,SOUTH ST
Vandalism,B2,183,2018,7,Tuesday,23,E COTTAGE ST
Fraud,B2,183,2018,7,Thursday,12,E COTTAGE ST
Property Lost,C11,345,2018,6,Saturday,11,RIDGEWOOD ST
Property Lost,A1,109,2018,7,Thursday,1,HIGH ST
Police Service Incidents,A1,88,2018,7,Thursday,11,NORTH ST
Investigate Property,E13,645,2018,7,Thursday,11,ALVESTON ST
Simple Assault,B3,449,2018,7,Thursday,9,WHEATLAND AVE
Aggravated Assault,B3,449,2018,7,Thursday,9,WHEATLAND AVE
Drug Violation,D14,778,2018,7,Thursday,11,WASHINGTON ST
Medical Assistance,C11,823,2018,7,Thursday,9,PLEASANT ST
Investigate Property,B3,427,2018,7,Thursday,10,ASTORIA ST
Property Found,C11,254,2018,7,Thursday,11,MARYLAND ST
Larceny,C6,186,2018,7,Thursday,11,ALLSTATE RD
Vandalism,B3,445,2018,7,Thursday,8,YORK ST
Investigate Person,C6,177,2018,7,Thursday,11,MASSACHUSETTS AVE
Investigate Property,C6,177,2018,7,Thursday,11,MASSACHUSETTS AVE
Larceny From Motor Vehicle,A7,29,2018,7,Thursday,6,ORLEANS ST
Towed,C11,250,2018,7,Thursday,6,SAVIN HILL AVE
Larceny From Motor Vehicle,E18,501,2018,7,Wednesday,8,MOUNT HOPE ST
Auto Theft,C6,233,2018,7,Wednesday,20,G ST
Towed,C6,233,2018,7,Wednesday,20,G ST
Robbery,A1,116,2018,7,Thursday,10,EDINBORO ST
Motor Vehicle Accident Response,D4, ,2018,7,Thursday,11,MASSACHUSETTS AVE
Auto Theft,E18,499,2018,7,Wednesday,10,NAVARRE ST
Vandalism,D14,793,2018,7,Wednesday,10,COMMONWEALTH AVE
Towed,C6,194,2018,7,Thursday,11,WOODWARD ST
Motor Vehicle Accident Response,D14,771,2018,7,Wednesday,20,DIGHTON ST
Motor Vehicle Accident Response,D14,794,2018,7,Thursday,1,GLENVILLE AVE
Towed,A1,126,2018,7,Thursday,9,MELROSE ST
Motor Vehicle Accident Response,B3,439,2018,7,Tuesday,19,WESTVIEW ST
Motor Vehicle Accident Response,C11,350,2018,7,Wednesday,21,DUNCAN ST
Missing Person Located,E18,544,2018,7,Wednesday,14,BRAEBURN RD
Missing Person Reported,E18,544,2018,7,Wednesday,14,BRAEBURN RD
Vandalism,A7,27,2018,7,Thursday,9,SUMNER ST
License Plate Related Incidents,C11,246,2018,7,Wednesday,8,BELFORT ST
Larceny,A1,84,2018,7,Thursday,9,HANOVER ST
Medical Assistance,E5,550,2018,7,Thursday,10,BLUE LEDGE DR
Simple Assault,C11,243,2018,7,Thursday,10,PLEASANT ST
Towed,D4,146,2018,7,Thursday,8,SAINT BOTOLPH ST
Towed,A7,12,2018,7,Thursday,8,BOARDMAN ST
Towed,A1,70,2018,7,Thursday,9,MOUNT VERNON ST
Medical Assistance,B3,418,2018,7,Thursday,10,MAXWELL ST
Investigate Person,E13,303,2018,7,Thursday,9,AMORY ST
Medical Assistance,C6,216,2018,7,Thursday,9,W NINTH ST
Medical Assistance,C11,366,2018,7,Thursday,10,DORCHESTER AVE
Medical Assistance,C11,366,2018,7,Thursday,10,DORCHESTER AVE
Warrant Arrests,B3,446,2018,7,Wednesday,14,ATHELWOLD ST
Missing Person Located,B3,446,2018,7,Wednesday,14,ATHELWOLD ST
Missing Person Reported,B3,446,2018,7,Wednesday,14,ATHELWOLD ST
Investigate Property,B3,449,2018,7,Thursday,9,WHEATLAND AVE
Motor Vehicle Accident Response,B3, ,2018,7,Thursday,8,BLUE HILL AVE
Other,E13,307,2018,7,Thursday,9,WALNUT PARK
Investigate Person,D14,804,2018,5,Sunday,0,EVERETT ST
Motor Vehicle Accident Response,A7,16,2018,7,Thursday,8,SARATOGA ST
Motor Vehicle Accident Response,B2,258,2018,7,Thursday,9,NONQUIT ST
Towed,D14,793,2018,7,Thursday,9,BRAINERD RD
Motor Vehicle Accident Response,B2,566,2018,7,Wednesday,18,AMERICAN LEGION HWY
Motor Vehicle Accident Response,D14,770,2018,7,Tuesday,9,MARKET ST
Motor Vehicle Accident Response,D14,768,2018,7,Thursday,8,MARKET ST
Fraud,A7,942,2018,6,Tuesday,8,FAYWOOD AVE
Missing Person Reported,C11,817,2018,7,Tuesday,17,TALBOT AVE
Property Lost,B3,476,2018,7,Thursday,7,REGIS RD
Robbery,B3,476,2018,7,Thursday,7,REGIS RD
Larceny,B3,476,2018,7,Thursday,7,REGIS RD
Towed,D14,796,2018,7,Thursday,9,SAINT LUKES RD
Property Found,D14,752,2018,7,Thursday,9,WASHINGTON ST
Property Lost,A1, ,2018,7,Tuesday,1,TREMONT ST
Motor Vehicle Accident Response,E18,519,2018,7,Thursday,8,CENTRAL AVE
Medical Assistance,D4,163,2018,7,Thursday,8,BRADFORD ST
Property Lost,D4,597,2018,7,Thursday,6,COLUMBUS AVE
Residential Burglary,B3,444,2018,7,Thursday,8,WALES ST
Larceny From Motor Vehicle,A1,77,2018,7,Tuesday,17,NEW SUDBURY ST
Motor Vehicle Accident Response,B2,289,2018,7,Thursday,8,PRENTISS ST
License Plate Related Incidents,A1,66,2018,7,Wednesday,18,ANDERSON ST
Commercial Burglary,E13,608,2018,7,Wednesday,0,S HUNTINGTON AVE
Motor Vehicle Accident Response,C11,366,2018,7,Thursday,8,DORCHESTER AVE
Motor Vehicle Accident Response,B2,323,2018,7,Tuesday,14,WARREN ST
Vandalism,D14,815,2018,7,Wednesday,0,MANSFIELD ST
Larceny,D4,149,2018,7,Thursday,7,COLUMBUS AVE
Larceny From Motor Vehicle,B2,329,2018,7,Thursday,6,BLUE HILL AVE
Auto Theft,B2,329,2018,7,Thursday,6,BLUE HILL AVE
Auto Theft Recovery,B2,329,2018,7,Thursday,6,BLUE HILL AVE
Motor Vehicle Accident Response,C11,257,2018,7,Thursday,6,STOUGHTON ST
Medical Assistance,C11,935,2018,7,Thursday,6,DORCHESTER AVE
Investigate Person,B3,421,2018,7,Thursday,4,W SELDEN ST
Medical Assistance,A1, ,2018,7,Thursday,4,JOHN F. FITZGERALD SURFA
Ballistics,C11,462,2018,7,Thursday,5,BULLARD ST
Motor Vehicle Accident Response,C11,336,2018,7,Thursday,3,HAMILTON ST
Investigate Person,B3,420,2018,7,Thursday,4,MORTON ST
Aggravated Assault,C11,462,2018,7,Thursday,4,BULLARD ST
Aggravated Assault,A7,27,2018,7,Thursday,1,SUMNER ST
Simple Assault,B2,311,2018,7,Thursday,3,EDGEWOOD ST
Aggravated Assault,C11,459,2018,7,Thursday,0,WASHINGTON ST
Fire Related Reports,D14,791,2018,7,Thursday,0,SUMMIT AVE
Property Found,A1,63,2018,7,Thursday,4,NEW SUDBURY ST
Verbal Disputes,B2,316,2018,7,Thursday,3,HOMESTEAD ST
Fire Related Reports,C11,336,2018,7,Thursday,2,HAMILTON ST
Robbery,A7,12,2018,7,Thursday,2,BRANDYWYNE DR
Investigate Person,C11,336,2018,7,Thursday,1,COLUMBIA TER
Simple Assault,B2,602,2018,7,Wednesday,23,HUNTINGTON AVE
Disorderly Conduct,B2,280,2018,7,Thursday,2,DUDLEY ST
Aggravated Assault,B3,434,2018,7,Thursday,2,NORFOLK ST
Motor Vehicle Accident Response,C11,402,2018,7,Thursday,0,WASHINGTON ST
Towed,C6,228,2018,7,Wednesday,21,E FOURTH ST
Other,D4,144,2018,7,Thursday,1,DALTON ST
Other,D4,144,2018,7,Thursday,1,DALTON ST
Simple Assault,D4,144,2018,7,Thursday,1,DALTON ST
Other,D4,144,2018,7,Thursday,1,DALTON ST
Aggravated Assault,B2,258,2018,7,Thursday,1,DUDLEY ST
Aggravated Assault,B3,439,2018,7,Thursday,1,WESTVIEW ST
Drug Violation,A7,27,2018,7,Thursday,0,SUMNER ST
Aggravated Assault,B2,237,2018,7,Thursday,0,CAWFIELD ST
Simple Assault,B2,237,2018,7,Thursday,0,CAWFIELD ST
Medical Assistance,D14,756,2018,7,Thursday,1,MATCHETT ST
Motor Vehicle Accident Response,D14,794,2018,7,Thursday,1,PARK VALE AVE
Commercial Burglary,C11,461,2018,7,Thursday,1,BOWDOIN ST
Larceny,C11,461,2018,7,Thursday,1,BOWDOIN ST
Recovered Stolen Property,C11,461,2018,7,Thursday,1,BOWDOIN ST
Recovered Stolen Property,C11,461,2018,7,Thursday,1,BOWDOIN ST
Warrant Arrests,C11,461,2018,7,Thursday,1,BOWDOIN ST
Verbal Disputes,E13,912,2018,7,Wednesday,0,PARKER ST
Motor Vehicle Accident Response,B3, ,2018,7,Thursday,0,AMERICAN LEGION HWY
Investigate Property,C11,354,2018,7,Wednesday,21,ADAMS ST
Police Service Incidents,C11,355,2018,7,Thursday,1,GIBSON ST
Vandalism,D14,796,2018,7,Thursday,0,COMMONWEALTH AVE
Motor Vehicle Accident Response,C11,333,2018,7,Thursday,0,MOUNT EVERETT ST
Motor Vehicle Accident Response,C11,333,2018,7,Thursday,0,MOUNT EVERETT ST
Motor Vehicle Accident Response,D4, ,2018,7,Wednesday,23,CHARLESGATE E
Vandalism,C11, ,2018,7,Wednesday,23,
Investigate Person,B2,259,2018,7,Wednesday,23,
Simple Assault,C6,206,2018,7,Wednesday,23,BOSTON WHARF RD
Disorderly Conduct,C6,206,2018,7,Wednesday,23,BOSTON WHARF RD
Medical Assistance,E13,303,2018,7,Wednesday,23,AMORY AVE
Other,A7,25,2018,7,Wednesday,23,WHITE ST
Other,A7,25,2018,7,Wednesday,23,WHITE ST
Verbal Disputes,B3,458,2018,7,Wednesday,18,OLD RD
Property Found,C6,203,2018,7,Wednesday,22,SUMMER ST
Investigate Person,C11,459,2018,7,Wednesday,20,WASHINGTON ST
Medical Assistance,B2,237,2018,7,Wednesday,21,COLUMBIA RD
Investigate Person,B3,428,2018,7,Wednesday,21,MORTON ST
Residential Burglary,E13,303,2018,7,Wednesday,14,W WALNUT PARK
Aggravated Assault,B3,469,2018,7,Wednesday,21,MATTAPAN ST
Vandalism,B3,469,2018,7,Wednesday,21,MATTAPAN ST
Vandalism,C11,388,2018,7,Wednesday,21,DORCHESTER AVE
Disorderly Conduct,C11,388,2018,7,Wednesday,21,DORCHESTER AVE
Simple Assault,C11,388,2018,7,Wednesday,21,DORCHESTER AVE
Simple Assault,E13,582,2018,7,Wednesday,22,SUNNYSIDE ST
Motor Vehicle Accident Response,A1,114,2018,7,Wednesday,22,ATLANTIC AVE
Other,E13,574,2018,7,Wednesday,22,BROOKSIDE AVE
Medical Assistance,E18,532,2018,7,Wednesday,22,NORTON ST
Motor Vehicle Accident Response,E5,562,2018,7,Tuesday,16,SOUTH ST
Motor Vehicle Accident Response,A7,12,2018,7,Wednesday,21,ADDISON ST
Medical Assistance,B2,324,2018,7,Wednesday,21,BROOKFORD ST
Homicide,B2,324,2018,7,Wednesday,21,BROOKFORD ST
Warrant Arrests,B2,324,2018,7,Wednesday,21,BROOKFORD ST
Vandalism,E18,512,2018,7,Wednesday,22,ALBION ST
Firearm Violations,B3,435,2018,7,Wednesday,22,CLARIDGE TER
Investigate Person,C6, ,2018,7,Wednesday,21,
Service,B2,326,2018,7,Wednesday,22,DUNKELD ST
Motor Vehicle Accident Response,C11,354,2018,7,Wednesday,21,GIBSON ST
Disorderly Conduct,D4,131,2018,7,Wednesday,21,BEACON ST
Aggravated Assault,D4,131,2018,7,Wednesday,21,BEACON ST
Missing Person Reported,B3,453,2018,7,Wednesday,21,ALGONQUIN ST
Missing Person Located,B3,453,2018,7,Wednesday,21,ALGONQUIN ST
Towed,E5,560,2018,7,Wednesday,20,KITTREDGE ST
Aggravated Assault,C11,247,2018,7,Wednesday,21,PEARL ST
Robbery,C11,247,2018,7,Wednesday,21,PEARL ST
Other,C11,247,2018,7,Wednesday,21,PEARL ST
Investigate Person,C11,355,2018,7,Wednesday,21,DORCHESTER AVE
Auto Theft,A1,115,2018,7,Wednesday,21,LINCOLN ST
Simple Assault,E13,579,2018,7,Wednesday,21,CENTRE ST
Residential Burglary,C6,226,2018,7,Wednesday,20,E FIFTH ST
Aggravated Assault,A1,102,2018,7,Wednesday,17,WINTER ST
Disorderly Conduct,C6,914,2018,7,Wednesday,20,DR. MICHAEL GAVIN WAY
Disorderly Conduct,C6,914,2018,7,Wednesday,20,DR. MICHAEL GAVIN WAY
Medical Assistance,E18,507,2018,7,Wednesday,21,HYDE PARK AVE
Violations,B2,267,2018,7,Wednesday,21,DUDLEY ST
Prisoner Related Incidents,B3,465,2018,7,Wednesday,19,BLUE HILL AVE
Verbal Disputes,B3,444,2018,7,Wednesday,20,GLENWAY ST
Simple Assault,A7,26,2018,7,Wednesday,19,MERIDIAN ST
Medical Assistance,C11,380,2018,7,Wednesday,19,WENLOCK RD
Medical Assistance,A1,97,2018,7,Wednesday,20,SCHOOL ST
Property Lost,A1,111,2018,7,Wednesday,20,TREMONT ST
Motor Vehicle Accident Response,B2,262,2018,7,Tuesday,16,W COTTAGE ST
Property Related Damage,A7,17,2018,7,Tuesday,4,SARATOGA ST
Motor Vehicle Accident Response,E5,550,2018,7,Wednesday,19,WASHINGTON ST
Motor Vehicle Accident Response,C11,340,2018,7,Tuesday,18,DRAPER ST
Vandalism,E13,636,2018,7,Wednesday,19,PAUL GORE ST
Simple Assault,C6,914,2018,7,Wednesday,19,DR. MICHAEL GAVIN WAY
Aggravated Assault,B2,280,2018,7,Wednesday,19,WASHINGTON ST
Larceny,A1,112,2018,7,Wednesday,19,AVENUE DE LAFAYETTE
Robbery,B2,605,2018,7,Wednesday,18,PARKER HILL AVE
Vandalism,B2,605,2018,7,Wednesday,18,PARKER HILL AVE
Verbal Disputes,B2,605,2018,7,Wednesday,18,PARKER HILL AVE
Confidence Games,E13,582,2018,7,Tuesday,15,WESTERLY ST
Motor Vehicle Accident Response,B2,311,2018,7,Wednesday,19,MAYWOOD ST
Investigate Property,D4,130,2018,7,Wednesday,19,SAINT JAMES AVE
Investigate Property,D4,130,2018,7,Wednesday,19,SAINT JAMES AVE
Investigate Person,C11,340,2018,7,Wednesday,18,MOUNT IDA RD
Medical Assistance,E13,570,2018,7,Wednesday,18,GARTLAND ST
Motor Vehicle Accident Response,E18,493,2018,7,Wednesday,18,WOOD AVE
Motor Vehicle Accident Response,B2,325,2018,7,Wednesday,18,DACIA ST
Aggravated Assault,B2,326,2018,7,Wednesday,18,FAYSTON ST
Investigate Person,B2,326,2018,7,Wednesday,18,FAYSTON ST
Medical Assistance,A7,26,2018,7,Wednesday,18,MERIDIAN ST
Investigate Person,C6,187,2018,7,Wednesday,17,BOSTON ST
Property Lost,D4,624,2018,7,Sunday,2,BOYLSTON ST
Investigate Property,A15,58,2018,7,Wednesday,16,DUNSTABLE ST
Motor Vehicle Accident Response,B3, ,2018,7,Wednesday,17,BERNARD ST
Medical Assistance,B2,328,2018,7,Wednesday,17,LAWRENCE AVE
Medical Assistance,D14,802,2018,7,Wednesday,17,CAMBRIDGE ST
Investigate Property,D4,619,2018,7,Wednesday,17,MASSACHUSETTS AVE
Drug Violation,A1, ,2018,7,Wednesday,17,ESSEX ST
Drug Violation,A1, ,2018,7,Wednesday,17,ESSEX ST
Other,B3,429,2018,7,Wednesday,17,HARWOOD ST
Violations,B3,429,2018,7,Wednesday,17,HARWOOD ST
Property Lost,D14,755,2018,6,Friday,20,TREMONT ST
Recovered Stolen Property,B2,324,2018,7,Wednesday,17,DANUBE ST
Fraud,A15,41,2018,7,Wednesday,12,CHESTNUT ST
Investigate Property,A15, ,2018,7,Wednesday,17,
Medical Assistance,E5,563,2018,7,Wednesday,17,WASHINGTON ST
Larceny,C11,461,2018,7,Wednesday,16,ELDON ST
Simple Assault,B2,911,2018,7,Wednesday,15,PRENTISS ST
Harbor Related Incidents,A7, ,2018,7,Wednesday,16,
Larceny,A1,94,2018,7,Wednesday,12,FANEUIL HALL MARKETPLACE
Investigate Person,A1,111,2018,6,Wednesday,15,TREMONT ST
Recovered Stolen Property,D4,168,2018,7,Wednesday,16,WASHINGTON ST
Motor Vehicle Accident Response,B2,258,2018,7,Wednesday,13,DUDLEY ST
Auto Theft,E18,481,2018,7,Wednesday,14,ROSEWOOD ST
Investigate Property,D4,130,2018,7,Wednesday,16,SAINT JAMES AVE
Medical Assistance,C6,175,2018,7,Wednesday,16,ATKINSON ST
Simple Assault,B3,468,2018,7,Wednesday,16,WALK HILL ST
Motor Vehicle Accident Response,E18,547,2018,7,Wednesday,10,ALPHEUS RD
Harassment,E18,527,2018,7,Wednesday,16,MILLSTONE RD
Larceny,B2,281,2018,7,Wednesday,16,WARREN ST
Verbal Disputes,B3,444,2018,7,Wednesday,15,ABBOT ST
Larceny,B2,311,2018,7,Wednesday,15,WARREN ST
Simple Assault,B2,311,2018,7,Wednesday,15,WARREN ST
Firearm Violations,C11,345,2018,7,Wednesday,16,WESTVILLE ST
Other,C11,345,2018,7,Wednesday,16,WESTVILLE ST
Firearm Violations,C11,345,2018,7,Wednesday,16,WESTVILLE ST
Drug Violation,C11,345,2018,7,Wednesday,16,WESTVILLE ST
Other,C11,345,2018,7,Wednesday,16,WESTVILLE ST
Simple Assault,B2,304,2018,7,Wednesday,15,WASHINGTON ST
Medical Assistance,D4, ,2018,7,Wednesday,15,COLUMBUS AVE
Verbal Disputes,C11,244,2018,7,Wednesday,15,TAFT ST
Harassment,E18,940,2018,7,Wednesday,14,GARFIELD AVE
Larceny,C11,817,2018,7,Tuesday,13,TALBOT AVE
Other,C11,817,2018,7,Tuesday,13,TALBOT AVE
Medical Assistance,E5,561,2018,7,Wednesday,15,BROWN AVE
Firearm Violations,B3,439,2018,7,Wednesday,15,WESTVIEW ST
Larceny,D4,141,2018,7,Wednesday,11,NEWBURY ST
Other,C11,364,2018,7,Wednesday,14,CENTRE ST
Medical Assistance,C11,364,2018,7,Wednesday,14,CENTRE ST
Investigate Person,D4,271,2018,7,Wednesday,15,HARRISON AVE
Larceny,B2,316,2018,7,Wednesday,14,HUMBOLDT AVE
Towed,C6,224,2018,7,Wednesday,13,E BROADWAY
Motor Vehicle Accident Response,B2,304,2018,7,Wednesday,1,WASHINGTON ST
Motor Vehicle Accident Response,B3, ,2018,7,Wednesday,15,HARVARD ST
Fire Related Reports,D4,149,2018,7,Wednesday,14,YARMOUTH ST
Investigate Person,C6,225,2018,7,Wednesday,13,E FOURTH ST
Investigate Person,E18,482,2018,7,Wednesday,12,RIVER ST
Motor Vehicle Accident Response,C11, ,2018,7,Wednesday,13,FREEPORT ST
Violations,E13,572,2018,7,Wednesday,14,WASHINGTON ST
Motor Vehicle Accident Response,E18, ,2018,7,Wednesday,13,TAUNTON AVE
Verbal Disputes,B2,328,2018,7,Wednesday,13,INTERVALE ST
Warrant Arrests,B2,328,2018,7,Wednesday,13,INTERVALE ST
Police Service Incidents,E5,680,2018,6,Thursday,0,DURNELL AVE
Larceny,B2,295,2018,7,Wednesday,14,HANSFORD ST
Robbery,E5,687,2018,7,Wednesday,13,BELGRADE AVE
Other,E5,560,2018,7,Wednesday,13,KITTREDGE ST
Verbal Disputes,B3,456,2018,7,Wednesday,13,ERIE ST
Violations,B2,282,2018,7,Wednesday,13,WASHINGTON ST
Larceny,A1,116,2018,7,Wednesday,12,KINGSTON ST
Drug Violation,B3,945,2018,7,Wednesday,13,WESTVIEW ST
Violations,B3,945,2018,7,Wednesday,13,WESTVIEW ST
Drug Violation,B3,945,2018,7,Wednesday,13,WESTVIEW ST
Violations,B3,945,2018,7,Wednesday,13,WESTVIEW ST
Medical Assistance,D4,134,2018,7,Wednesday,12,BOYLSTON ST
Larceny,A1,102,2018,7,Wednesday,11,WINTER ST
Vandalism,D4,598,2018,7,Wednesday,12,DALTON ST
Investigate Property,D4,130,2018,7,Wednesday,13,SAINT JAMES AVE
Auto Theft,B3,420,2018,7,Wednesday,12,LORNA RD
Simple Assault,E5,714,2018,7,Wednesday,10,WASHINGTON ST
Aggravated Assault,B2,319,2018,7,Wednesday,1,CHENEY ST
Larceny,B2,593,2018,7,Wednesday,12,HUNTINGTON AVE
Vandalism,A15,38,2018,7,Wednesday,12,THIRTEENTH ST
Medical Assistance,B3,467,2018,7,Wednesday,12,WESTMORE RD
Investigate Property,B3,437,2018,7,Wednesday,12,NORFOLK ST
Property Lost,B2,614,2018,4,Tuesday,7,BROOKLINE AVE
Other,E5,703,2018,7,Wednesday,11,BELLEVUE ST
Investigate Property,D4,152,2018,7,Wednesday,12,TREMONT ST
Investigate Property,D4,619,2018,7,Wednesday,12,MASSACHUSETTS AVE
Motor Vehicle Accident Response,B3,474,2018,7,Wednesday,12,ITASCA ST
Property Lost,C11,337,2018,7,Tuesday,0,BOWDOIN ST
Investigate Property,D4,130,2018,7,Wednesday,12,SAINT JAMES AVE
Other,A1,102,2018,7,Wednesday,11,WINTER ST
Motor Vehicle Accident Response,A15,48,2018,7,Wednesday,11,ALFORD ST
Firearm Violations,B2,237,2018,7,Wednesday,11,BELDEN ST
Drug Violation,B2,237,2018,7,Wednesday,11,BELDEN ST
Violations,B2,237,2018,7,Wednesday,11,BELDEN ST
Other,B2,237,2018,7,Wednesday,11,BELDEN ST
Investigate Property,A1,92,2018,7,Wednesday,11,CITY HALL PLZ
Motor Vehicle Accident Response,E5,697,2018,7,Tuesday,20,ANAWAN AVE
Verbal Disputes,E5,941,2018,7,Wednesday,11,ELVEN RD
Robbery,A7,24,2018,7,Wednesday,11,EUTAW ST
Larceny,A7,24,2018,7,Wednesday,11,EUTAW ST
Simple Assault,A7,24,2018,7,Wednesday,11,EUTAW ST
Larceny,A7,24,2018,7,Wednesday,11,EUTAW ST
Vandalism,B3,474,2018,7,Wednesday,11,ITASCA ST
Simple Assault,B3,474,2018,7,Wednesday,11,ITASCA ST
Verbal Disputes,B3,446,2018,7,Wednesday,11,ATHELWOLD ST
Property Lost,A1,125,2018,7,Tuesday,14,STUART ST
Larceny,A1, ,2018,6,Saturday,13,BLACKSTONE ST
Verbal Disputes,B2,316,2018,7,Wednesday,11,HAROLD ST
Fraud,D4,622,2018,6,Monday,0,BAY STATE RD
Larceny,C6,175,2018,7,Tuesday,22,ATKINSON ST
Other,B2,304,2018,7,Wednesday,10,NOTRE DAME ST
Investigate Property,E18,492,2018,7,Wednesday,10,METROPOLITAN AVE
Police Service Incidents,D14,778,2018,7,Wednesday,10,WASHINGTON ST
Vandalism,C6,177,2018,7,Tuesday,10,MASSACHUSETTS AVE
Verbal Disputes,B2,267,2018,7,Wednesday,10,MOUNT PLEASANT AVE
Medical Assistance,C11,351,2018,7,Wednesday,10,DORCHESTER AVE
Simple Assault,B3,450,2018,7,Wednesday,9,TALBOT AVE
Residential Burglary,B3,472,2018,7,Wednesday,9,BLUE HILL AVE
Restraining Order Violations,C11,363,2018,7,Wednesday,9,WHITTEN ST
Medical Assistance,E18,483,2018,7,Wednesday,9,MATTAKEESET ST
Verbal Disputes,B3,443,2018,7,Wednesday,9,STANDISH ST
Larceny,B3,428,2018,7,Wednesday,7,MORTON ST
Vandalism,D4,271,2018,7,Wednesday,9,WASHINGTON ST
Other,D4,271,2018,7,Wednesday,9,WASHINGTON ST
Vandalism,D4,618,2018,7,Tuesday,11,HEMENWAY ST
Larceny From Motor Vehicle,D4,618,2018,7,Wednesday,9,HEMENWAY ST
Towed,D14,765,2018,7,Wednesday,8,HOBART ST
Harassment,A15,900,2018,7,Wednesday,9,COREY ST
Larceny,C11,405,2018,7,Wednesday,8,DORCHESTER AVE
Larceny,B3,434,2018,7,Wednesday,0,CAPEN PL
Commercial Burglary,C6,235,2018,7,Tuesday,21,DORCHESTER AVE
Vandalism,C6,235,2018,7,Tuesday,21,DORCHESTER AVE
Larceny,A1,115,2018,7,Tuesday,14,ATLANTIC AVE
Property Lost,C11,337,2018,7,Wednesday,7,GENEVA AVE
Vandalism,C11,257,2018,7,Sunday,0,HANCOCK ST
Larceny,E13,649,2018,7,Wednesday,6,ATWOOD SQ
Investigate Property,A1,92,2018,7,Wednesday,7,CITY HALL PLZ
Simple Assault,D14,805,2018,7,Wednesday,6,LINCOLN ST
Missing Person Located,B2,311,2018,7,Wednesday,6,SAVIN ST
Missing Person Reported,B2,311,2018,7,Wednesday,6,SAVIN ST
Motor Vehicle Accident Response,C11,240,2018,7,Wednesday,5,E COTTAGE ST
Medical Assistance,D4,618,2018,7,Wednesday,4,HEMENWAY ST
Ballistics,B3,453,2018,7,Wednesday,4,ALGONQUIN ST
Motor Vehicle Accident Response,E18,541,2018,7,Wednesday,4,RIVER ST
Investigate Person,B3,468,2018,7,Wednesday,4,HAZLETON ST
Simple Assault,C6,207,2018,7,Wednesday,2,TERMINAL ST
Commercial Burglary,C11,246,2018,7,Wednesday,3,DORCHESTER AVE
Aggravated Assault,B2,909,2018,7,Wednesday,2,WHITTIER ST
Vandalism,B2,909,2018,7,Wednesday,2,WHITTIER ST
Investigate Property,C11,337,2018,7,Wednesday,2,GENEVA AVE
Investigate Property,C11,357,2018,7,Wednesday,2,BLOOMFIELD ST
Towed,A7,23,2018,7,Wednesday,1,BENNINGTON ST
Simple Assault,B3,442,2018,7,Tuesday,23,KERWIN ST
Missing Person Located,B3,442,2018,7,Tuesday,23,KERWIN ST
Motor Vehicle Accident Response,B3,447,2018,7,Wednesday,1,PARK ST
Larceny,A15,59,2018,7,Tuesday,22,MAIN ST
Investigate Property,A15,900,2018,7,Wednesday,1,CARNEY CT
Medical Assistance,B2,329,2018,7,Wednesday,1,BLUE HILL AVE
Drug Violation,D4,155,2018,7,Wednesday,1,COLUMBUS AVE
Violations,D4,155,2018,7,Wednesday,1,COLUMBUS AVE
Drug Violation,D4,171,2018,7,Tuesday,23,HARRISON AVE
Verbal Disputes,B2,316,2018,7,Wednesday,0,HAROLD ST
Property Lost,E13,948,2018,7,Monday,22,AMORY ST
Motor Vehicle Accident Response,B3, ,2018,7,Tuesday,23,BLUE HILL AVE
Motor Vehicle Accident Response,E5,552,2018,7,Wednesday,0,WASHINGTON ST
Aggravated Assault,B2,327,2018,7,Wednesday,0,WAYLAND ST
Simple Assault,B2,313,2018,7,Tuesday,23,DECKARD ST
Motor Vehicle Accident Response,B3,418,2018,7,Tuesday,23,MORTON ST
Motor Vehicle Accident Response,A1,126,2018,7,Tuesday,23,ARLINGTON ST
Investigate Property,D14,764,2018,7,Wednesday,0,PARSONS ST
Homicide,B2,316,2018,7,Tuesday,23,CRAWFORD ST
Motor Vehicle Accident Response,A7,12,2018,7,Tuesday,22,WILLIAM F MCCLELLAN HWY
Aggravated Assault,D14,805,2018,7,Tuesday,23,LINCOLN ST
Medical Assistance,A7,27,2018,7,Tuesday,0,CLIPPER SHIP LN
Medical Assistance,D4,130,2018,7,Tuesday,22,SAINT JAMES AVE
Simple Assault,B2,262,2018,7,Tuesday,22,WOODVILLE ST
